genre,top,left,font_pct
2-step,1929,1273,100
21st century classical,21303,272,101
432hz,19492,270,100
48g,2382,354,100
528hz,19755,85,101
5th wave emo,9045,331,101
8-bit,2776,618,100
8d,14641,242,101
a cappella,13675,609,103
aarhus indie,11637,458,100
aberdeen indie,9835,390,100
abstract,9908,663,101
abstract beats,7827,939,101
abstract hip hop,7839,909,102
abstract idm,7274,586,100
abstractro,14524,198,100
accordeon,11981,804,100
accordion,15576,817,101
accordion band,13910,414,100
acid house,1467,1110,101
acid idm,2027,1079,100
acid jazz,4822,1002,101
acid rock,13010,473,104
acid techno,1084,1117,101
acid trance,1676,1009,100
acidcore,935,1019,100
acousmatic,19784,456,100
acoustic blues,19316,1084,102
acoustic chill,16114,788,101
acoustic cover,15939,830,103
acoustic guitar cover,15272,1004,102
acoustic opm,14327,659,102
acoustic pop,12574,581,106
acoustic punk,12621,721,101
acoustic rock,13700,624,101
action rock,7669,181,100
adelaide indie,7943,402,100
adelaide punk,8074,291,100
adivasi pop,2960,866,100
adoracao,10295,384,106
adoracion,10016,596,101
adoracion pentecostal,11080,849,101
adult standards,18832,700,112
adventista,13861,445,101
aesthetic rap,5088,1011,106
afghan pop,12476,808,102
afghan rap,6977,1121,100
afghan traditional,19153,464,100
african electronic,3916,1097,100
african experimental,12289,551,100
african gospel,11541,705,101
african metal,6802,236,100
african percussion,17400,763,100
african reggae,6437,1115,101
african rock,6370,566,101
african-american classical,19696,891,101
afrikaans,8763,663,102
afrikaans folk,13871,786,100
afrikaans gospel,12203,540,100
afrikaans gqom,1605,1235,100
afrikaans hip hop,6035,1152,100
afro drill,7989,1152,101
afro house,1134,1252,101
afro house angolano,2995,1326,100
afro psych,11142,921,100
afro r&amp;b,8601,973,103
afro soul,4880,1011,102
afro-cuban percussion,16511,1056,100
afro-cuban traditional,15576,1132,100
afro-funk,9443,1036,100
afrobeat,13034,1038,102
afrobeat brasileiro,8198,927,101
afrobeat fusion,10833,996,100
afrobeats,8601,1066,112
afrofuturism,10460,845,106
afrofuturismo brasileiro,6450,1034,103
afropop,11117,967,106
afroswing,11090,1084,103
aggressive phonk,2625,883,102
aggro chileno,7767,445,100
aggrotech,1315,586,101
aghani lil-atfal,12998,1026,100
agronejo,8501,847,113
ai,13192,408,100
ainu folk,14094,971,100
akordeon,6729,683,100
alabama hardcore,9463,187,100
alabama indie,11318,460,101
alabama metal,7547,227,100
alabama rap,5466,1095,103
alandsk musik,12758,497,100
alaska hip hop,7963,1043,100
alaska indie,12069,588,101
albanian alternative,6061,779,100
albanian folk,17125,435,100
albanian hip hop,6047,1110,104
albanian iso polyphony,21620,315,100
albanian pop,5948,955,104
albanian rock,7681,630,100
albany ny indie,11210,495,100
alberta country,6221,554,101
alberta hip hop,7827,1079,100
album rock,10880,490,121
albuquerque indie,9561,621,101
algerian folk,17680,708,100
algorave,4689,788,100
alpenpanorama,16686,919,100
alphorn,15400,521,100
alpine yodeling,8778,731,100
alt z,8689,834,115
alt-idol,2615,443,100
alte,9681,1017,103
alternative americana,13527,566,102
alternative ccm,11882,486,101
alternative country,13454,542,103
alternative dance,2674,815,106
alternative emo,6815,317,104
alternative hardcore,8334,495,100
alternative hip hop,11265,977,108
alternative metal,6864,306,124
alternative metalcore,6702,325,100
alternative pop,10736,398,101
alternative pop rock,7186,462,104
alternative r&amp;b,10520,967,111
alternative rock,9647,416,118
alternative roots rock,11514,458,101
amapiano,1072,1355,103
ambeat,6404,957,101
ambient,15167,234,103
ambient black metal,12858,33,100
ambient country,17049,327,100
ambient dub techno,3110,1058,100
ambient folk,16394,433,103
ambient fusion,5249,927,100
ambient guitar,16014,172,102
ambient house,6409,744,101
ambient idm,8162,633,101
ambient industrial,14507,212,100
ambient lo-fi,14590,319,104
ambient pop,13335,358,105
ambient post-rock,14757,133,100
ambient psychill,3286,726,100
ambient synth,18440,199,100
ambient techno,4997,837,100
ambient trance,5289,604,100
ambient worship,14494,245,103
american 21st century classical,20809,310,100
american choir,21840,163,100
american classical piano,21389,521,100
american contemporary classical,21316,384,101
american early music,21535,302,100
american folk revival,19487,868,102
american grindcore,11404,140,100
american melodeath,6272,160,100
american metalcore,5085,225,103
american modern classical,21133,488,101
american oi,8887,376,100
american orchestra,20397,238,100
american post-punk,7397,390,101
american post-rock,11271,310,101
american primitive,17621,551,100
american romanticism,21218,460,100
american shoegaze,8394,147,102
amharic pop,7078,901,100
anadolu rock,13145,581,103
anarcho-punk,11051,302,101
ancient mediterranean,19082,832,100
andalusian classical,17914,533,100
andean flute,12675,724,100
anglican liturgy,21767,136,100
animal singing,17967,832,100
anime,5555,414,109
anime cv,4909,473,101
anime drill,5731,1081,101
anime game,6174,384,100
anime latino,4617,551,101
anime lo-fi,12141,887,103
anime phonk,3001,903,102
anime piano,16657,646,101
anime rap,5923,1013,102
anime rock,3711,408,107
anime score,14733,454,104
animegrind,7743,183,100
ann arbor indie,11734,551,102
anthem,17095,443,100
anthem emo,4713,279,102
anthem worship,8272,294,102
anti-folk,13838,770,102
antideutsche,6290,781,102
antilliaanse folklore,13591,1009,100
antilliaanse rap,7347,1117,101
antiviral pop,6433,824,103
apostolic worship,11093,431,101
appalachian black metal,11149,73,100
appalachian folk,19095,957,100
appenzeller folk,15174,503,100
arab alternative,10387,739,101
arab electronic,2015,1126,102
arab experimental,13886,466,100
arab folk,18757,618,101
arab groove,11255,834,100
arab metal,6284,163,100
arab pop,9599,746,105
arab trap,3432,751,101
arabesk,13775,612,105
arabic hip hop,8978,1026,103
arabic instrumental,14525,573,100
arabic jazz,15705,726,101
argentine alternative rock,6628,506,102
argentine ambient,16173,325,101
argentine hardcore,10981,362,100
argentine heavy metal,8370,287,102
argentine hip hop,7384,1114,110
argentine indie,9193,655,104
argentine indie rock,7930,372,101
argentine jazz,17738,847,100
argentine metal,7780,264,100
argentine punk,8506,342,101
argentine reggae,5338,1040,103
argentine rock,9011,615,111
argentine telepop,6605,718,103
arizona punk,8309,331,100
arkansas country,16014,937,104
arkansas hip hop,6162,1132,101
arkansas indie,11931,517,100
arkansas metal,9684,196,100
armenian folk,14624,542,100
armenian hip hop,8915,1040,100
armenian indie,11710,528,100
armenian pop,7793,795,100
arpa grande,12240,943,100
arpa paraguaya,16072,915,100
arrocha,8462,961,116
arrochadeira,5085,1311,105
ars subtilior,22238,207,100
art pop,9611,599,117
art punk,10239,542,103
art rock,12934,521,110
art song,22074,431,100
arunachal indie,8236,872,101
asakaa,7950,1134,100
asbury park indie,10501,512,101
asheville indie,10892,694,101
asian american hip hop,6224,1036,102
asmr,15546,443,103
assamese hip hop,8273,973,100
assamese pop,12128,753,101
assyrian pop,7569,736,100
athens indie,10257,416,103
atl hip hop,4354,1062,117
atl trap,4702,1148,107
atlanta bass,2791,1182,101
atlanta indie,9737,414,102
atlanta metal,5978,201,101
atlanta punk,8632,296,101
atlantic canada hip hop,10071,1038,100
atmosphere,19345,52,102
atmospheric black metal,10342,50,101
atmospheric dnb,2948,851,101
atmospheric doom,10941,138,100
atmospheric post-metal,10806,167,100
atmospheric post-rock,11100,247,100
atmospheric sludge,10318,203,100
auckland indie,8186,460,102
audiophile vocal,17534,781,101
aussie drill,6866,1209,102
aussie emo,7472,302,101
aussietronica,3331,874,104
austin americana,12326,667,101
austin hip hop,9455,1017,100
austin metal,8565,198,100
austin rock,8552,341,100
austin singer-songwriter,13096,646,100
austindie,9500,495,102
australian alternative pop,7507,692,102
australian alternative rock,10133,410,102
australian ambient,15488,360,100
australian americana,12835,655,101
australian black metal,10636,73,100
australian blues,12872,783,100
australian children's music,13467,1064,102
australian choir,22024,174,100
australian classical,21681,366,100
australian classical piano,21852,517,100
australian comedy,15693,990,100
australian country,10093,713,102
australian dance,2762,839,108
australian death metal,8972,138,100
australian electropop,3870,767,104
australian experimental,13874,339,100
australian garage punk,8148,270,101
australian hardcore,10134,216,100
australian hip hop,5680,1026,106
australian house,1220,1191,103
australian indie,7335,533,104
australian indie folk,12634,627,103
australian indie rock,6952,429,101
australian indigenous hip hop,8335,1038,100
australian indigenous music,10588,670,101
australian jazz,18440,781,100
australian metal,8037,176,101
australian metalcore,4700,192,102
australian pop,6505,694,109
australian post-hardcore,3682,190,101
australian post-punk,10391,344,100
australian post-rock,11441,292,100
australian psych,9512,275,104
australian r&amp;b,7014,854,101
australian reggae fusion,9039,832,103
australian rock,9352,542,107
australian rockabilly,11667,639,100
australian shoegaze,8668,156,100
australian singer-songwriter,13983,556,101
australian ska,7768,731,100
australian surf rock,5431,364,103
